FID,newID,X0_30cm,BD10m30,BD100m30,BD250m30,BD250mv2
21,22,1.228260000000000,0.69278895,1.226238321727171,1.221412835389704,0.237309982
23,24,1.228260000000000,0.471350373,1.213795775498272,1.159911024820746,0.80448502
20,21,1.228260000000000,0.707470412,1.213402594393462,1.159828795441134,1.038119598547536
22,23,1.228260000000000,0.865105654,1.224694830184711,1.212215322897103,1.131541710157602
40,41,1.228260000000000,0.896869995,1.219338679214977,1.182327240586440,1.300355242551440
42,43,1.180370000000000,0.972323952,1.216538295366982,1.162438589218679,1.300974664110573
45,46,1.228260000000000,1.048324762904964,1.219480068644442,1.179437075931124,1.301833826448529
43,44,1.228260000000000,1.053008935681959,1.204179202386228,1.146035496987747,1.302080761552982
39,40,1.228260000000000,0.963497765,1.218124010065367,1.184129861732101,1.303425463194132
31,32,1.228260000000000,1.096791784208460,1.221905440961445,1.206506579041510,1.306274422169416
35,36,1.180370000000000,0.973087292,1.220857136765916,1.190084382261142,1.306659127153821
32,33,1.180370000000000,1.039754040479713,1.212203229427750,1.183729225511686,1.307703720948852
11,12,1.228260000000000,1.194919674786602,1.192637031383918,1.167387076920254,1.310030688905274
5,6,1.228260000000000,1.062687450742636,1.206217869614535,1.176623866090835,1.310369510666103
24,25,1.180370000000000,0.61719797,1.218390765357309,1.131144572284462,1.311406415120166
25,26,1.447960000000000,1.070400179390046,1.196484711921934,1.181991037684724,1.311666727066040
41,42,1.228260000000000,1.006851300983728,1.209964803414566,1.181720954388666,1.311666727066040
33,34,1.228260000000000,1.213004971473391,1.204217993905745,1.159162955996720,1.312233554202830
30,31,1.447960000000000,0.794125038,1.225851817153569,1.199972368448583,1.312368536003406
10,11,1.180370000000000,1.136704188875177,1.204813104336461,1.182541889803778,1.312381655404323
44,45,1.180370000000000,1.101381633865457,1.210334893560401,1.170604287974996,1.312460731944735
37,38,1.180370000000000,1.137611650205365,1.211701989541913,1.179005336671308,1.312750905054200
34,35,1.447960000000000,0.923350095,1.218060051139918,1.188333272933960,1.312957367688264
38,39,1.180370000000000,1.079266067309216,1.211417255274229,1.178039893307221,1.313990221006355
18,19,1.180370000000000,1.058954404224713,1.216876755480288,1.117321256902580,1.314030046991226
29,30,0.70822,0.978769467,1.198767165229244,1.182426821169499,1.316567444838874
47,48,1.228260000000000,1.092231623614061,1.218596787192237,1.179182627839601,1.316653369920766
14,15,1.508300000000000,0.947537304,1.202182236843713,1.178396957453085,1.316666603088379
19,20,1.180370000000000,1.115520967146606,1.215922011423827,1.094432721678290,1.316666603088379
27,28,1.180370000000000,1.035935899920386,1.209810937020862,1.186128952429368,1.317237288245040
1,2,1.180370000000000,1.040846857452479,1.199696238491003,1.138553751477934,1.317520431907305
17,18,1.180370000000000,1.081369125578588,1.207848928561338,1.189129977843911,1.318785651963569
2,3,0.708022,0.912650997,1.204566656608019,1.069999933242798,1.319999933242798
26,27,1.691090000000000,0.926478509,1.214288310472291,1.183961129284690,1.320111776684699
7,8,1.447960000000000,0.973277367,1.198440872193539,1.145074099379118,1.320521235140047
9,10,1.180370000000000,1.135570782479292,1.202143664209295,1.172547846013445,1.320881754126108
12,13,1.508300000000000,0.944254529,1.196033260321205,1.172405755117372,1.321661603713518
36,37,1.287400000000000,1.054117577198276,1.204376868460091,1.121687106702054,1.321666717529297
28,29,1.228260000000000,1.023708637758407,1.232982546204678,1.193333288341550,1.322214870197617
16,17,0.736958,1.015113772448931,1.214345961796381,1.183870650764451,1.322555542872491
13,14,1.180370000000000,1.057254347968373,1.193878052761671,1.173639235728953,1.323372776420688
6,7,1.283760000000000,1.090949208667402,1.200184483430751,1.142918527966946,1.324570189170873
4,5,1.228260000000000,1.046070104582073,1.221829502785435,1.193347905315159,1.324791356194167
0,1,1.180370000000000,1.199172610333691,1.198649125773542,1.167998818136630,1.325000047683716
8,9,1.524760000000000,1.057071511601425,1.205220746640958,1.146596243684728,1.325549888505658
15,16,1.228260000000000,1.012161327888816,1.219945419513828,1.198230790931605,1.328333377838135
