FID,newID,X0_30_cm,Clay10m30,Clay100m30,Clay250m30,Clay250mv2
123,124,27.747800000000002,18.357360327518254,23.087460631503095,24.798425690270431,28.109291015907221
88,89,17.967500000000001,18.610798196717695,20.891916479146097,18.609898356321171,27.941177302880103
136,137,28.504200000000001,18.683321990592983,24.730674874459364,27.164304621904751,28.793926132220744
144,145,27.905799999999999,18.758184432983381,23.631198020147831,25.662134013830052,27.866415031050209
51,52,29.765899999999998,18.758184432983388,21.551265767998768,16.253807159823484,19.060257075146293
53,54,25.944800000000001,18.758184432983409,19.393611676773439,18.265061645183323,25.966873006747033
125,126,26.285000000000000,18.759454336845451,23.775574725388111,26.822291025752758,28.402557321855223
151,152,33.390300000000003,18.760118930662514,25.471762139613709,28.637240642928813,25.988290142173764
74,75,27.905799999999999,18.783808186780355,20.227400552858086,19.039381702134747,26.747020733557562
135,136,17.950700000000001,18.831364431800822,25.951384786680840,27.030686385345383,28.975757175819627
70,71,34.896700000000003,18.905769593081121,12.787780608821564,11.186269204590058,18.491347243109249
138,139,17.687100000000001,18.988249405322101,22.635682132789199,23.450584524764732,27.340345912837293
79,80,18.524500000000000,19.013024292175512,22.255422810733432,21.278541926073348,26.078998952244547
89,90,17.966999999999999,19.157952825475700,22.634586906623483,19.643226075175093,25.863366774428805
122,123,27.384599999999999,19.184013398381929,26.263938175928647,28.961557378563661,29.527464721054010
69,70,20.669899999999998,19.201228543045907,22.659400106733170,21.868178850713434,23.913573494068178
58,59,26.330600000000000,19.205088756078556,18.864411801263721,18.675238928079619,27.306728222014041
97,98,19.853500000000000,19.224838763362705,21.919189160561405,20.727409641057957,26.384909560478768
75,76,17.966999999999999,19.369252312463320,20.055450758490053,21.154785149781194,27.402231459110144
130,131,27.747800000000002,19.465509002125700,23.100577403967861,26.338672251453822,26.818486001194465
76,77,26.285000000000000,19.473189290540347,20.454205671324036,19.562894822089167,27.013503824495245
121,122,27.747800000000002,19.486507744139377,18.716007347965995,20.969812988896678,27.728898012641082
96,97,18.524500000000000,19.493241919453268,21.611290529673557,23.748331134139491,27.788692254864490
44,45,26.330600000000000,19.826908159034051,19.510709503072228,15.324829846522428,26.007205497990221
104,105,26.285000000000000,19.829634691099987,19.771880290245054,20.987521220242030,27.478078940002472
54,55,17.687100000000001,19.960373484836495,22.052137199511389,20.740872360166254,25.001261007028532
110,111,17.966999999999999,19.973190583615516,21.621999991960084,23.750099162278723,28.029433388436274
124,125,27.625900000000001,19.976130141792581,22.741675584553981,25.872127729332345,28.359130607764534
142,143,17.950700000000001,20.110296344945350,23.217816054175213,24.108462641771016,28.138066731119544
47,48,24.293299999999999,20.214142772598098,19.255696941576971,13.249892903521667,18.276199723374088
137,138,23.762200000000000,20.314122680445450,23.411639227501354,24.820539092648978,28.758300718606794
92,93,21.628699999999998,20.409079889835784,20.916201039431819,20.551186068696762,24.038127708396647
95,96,19.126100000000001,20.677812579099140,20.847774326564089,20.083429868568839,27.797901081945273
62,63,24.293299999999999,20.798508849624941,20.138769945990610,18.854137929847198,26.262935866749302
117,118,24.293299999999999,20.833716334901105,21.911028283592852,26.235698026097729,27.824003691085739
98,99,27.905799999999999,20.938195186645551,17.701026291592363,19.990413510264165,28.106286534976995
120,121,28.918900000000001,21.235652596393084,21.603189186512420,24.736010096812858,27.917331885736658
61,62,24.293299999999999,21.238323485641484,18.755737550813535,18.289907506547401,24.372792105117291
77,78,26.141500000000001,21.313810723132072,20.460354317169976,15.642700405421850,27.851071204820940
102,103,17.967500000000001,21.363767134546517,18.423696825596242,20.565668408855554,23.975473620847811
46,47,34.513599999999997,21.367082378730146,21.567983377775626,16.496226747876182,23.873416006774420
67,68,23.183100000000000,21.642968997363383,23.615220114705192,22.354287568965294,23.227445530211174
93,94,28.381399999999999,21.645119973952653,19.128512603890627,20.827524208051948,25.682190991744960
59,60,33.727300000000000,21.664028826033480,21.742676674721892,24.188316959896685,27.691698479050633
71,72,26.141500000000001,22.047039180112680,21.550110843411041,17.726993993032902,27.619003058182969
66,67,33.390300000000003,22.143231576938412,20.301397876189473,19.693292900390762,26.618876107609221
